ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 379311	13.21; 12.18; 17.6	12.18; 13.21; 17.6	YE – YELLOW	OT – OBLATE; OV – OVATE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	28			5	17	18	30			YE – YELLOW; TN – TAN	V – VINE	3 – MEDIUM	2
PI 379312	9.8; 24	9.8; 24	YE – YELLOW	OT – OBLATE; OV – OVATE	2 – RIBBED	2 – MEDIUM-GOOD	28			6	20	16	42			OR – ORANGE; YE – YELLOW; TN – TAN	V – VINE	2 – MEDIUM-GOOD	3
PI 379313	33.4; 19	19; 33.4	OR – ORANGE; YE – YELLOW	OV – OVATE; GL – GLOBE; OT – OBLATE	1 – SMOOTH	3 – MEDIUM	26			4	15	16	35			YE – YELLOW; GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	2
PI 379314	15.12; 19.99; 22.22	15.12; 19.99; 22.22	YE – YELLOW	OG – OBLONG; OT – OBLATE	1 – SMOOTH	3 – MEDIUM	21			4	25	15	42			YE – YELLOW	V – VINE	3 – MEDIUM	2
PI 379315	8.7; 14.41	8.7; 14.41	OR – ORANGE	OT – OBLATE	1 – SMOOTH	3 – MEDIUM	14			4	42	12	53		SO – SOLID COLOR	YE – YELLOW; OR – ORANGE	V – VINE; S – SEMI-BUSH	3 – MEDIUM	2
PI 379316	16.9; 11.2; 14.07	11.2; 14.07; 16.9	CR – CREAM	OT – OBLATE	1 – SMOOTH	4 – MEDIUM-POOR	17			3	49	12	63		SO – SOLID COLOR	CR – CREAM; YE – YELLOW	V – VINE; S – SEMI-BUSH	4 – MEDIUM-POOR	
PI 379317	18.34; 17.7; 13; 13.64	13; 13.64; 17.7; 18.34	OR – ORANGE; CR – CREAM	OT – OBLATE	1 – SMOOTH	5 – POOR	15			4	40	10	55		SO – SOLID COLOR	YE – YELLOW; CR – CREAM	B – BUSH; V – VINE	4 – MEDIUM-POOR	2
PI 379318	15.32; 26.36; 28	15.32; 26.36; 28																	
PI 379319	20.46	20.46	YE – YELLOW	GL – GLOBE; OV – OVATE	2 – RIBBED		30			6	25	21	31		MO – MOTTLED	GN – GREEN			4
PI 379320	19.66; 16	16; 19.66	CR – CREAM	OV – OVATE	1 – SMOOTH	4 – MEDIUM-POOR	25			4	21	20	28		MO – MOTTLED; SO – SOLID COLOR	CR – CREAM; OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 379321	17.86; 14; 15.02; 18.1; 17.36; 17.89	14; 15.02; 17.36; 17.86; 17.89; 18.1	YE – YELLOW	OT – OBLATE	4 – WARTY		25			3	14	22	19		MO – MOTTLED	GN – GREEN; OR – ORANGE			2
PI 379322	13.06; 14.28	13.06; 14.28	CR – CREAM; OR – ORANGE	OT – OBLATE	1 – SMOOTH	3 – MEDIUM	20			5	32	15	58		MO – MOTTLED; SO – SOLID COLOR	TN – TAN; OR – ORANGE; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	3
PI 379323	13.34; 20.44	13.34; 20.38; 20.44	OR – ORANGE; CR – CREAM	OT – OBLATE; GL – GLOBE	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	4 – MEDIUM-POOR	25			3	13	20	18		MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; CR – CREAM; OR – ORANGE	V – VINE	3 – MEDIUM	2
PI 379324	18; 16.44	16.44; 18	CR – CREAM; OR – ORANGE	OT – OBLATE	2 – RIBBED; 3 – WRINKLED	4 – MEDIUM-POOR	31			3	21	24	27		MO – MOTTLED	OR – ORANGE; CR – CREAM; GN – GREEN	V – VINE		
PI 381323	14; 15.3; 14.56; 17.56; 16.33; 14.63	9.87; 14; 14.56; 14.63; 15.3; 16.33; 17.56	CR – CREAM; YE – YELLOW	OV – OVATE	1 – SMOOTH	5 – POOR	14			3	18	11	27		SO – SOLID COLOR	YE – YELLOW; CR – CREAM	V – VINE	3 – MEDIUM	2
PI 385969	15.72; 15.28; 14.08; 14.52; 14.05; 15.1	14; 14.05; 14.08; 14.52; 15.1; 15.28; 15.72	CR – CREAM	OG – OBLONG	1 – SMOOTH	4 – MEDIUM-POOR	13			4	30	10	50			GN – GREEN; OR – ORANGE	B – BUSH	4 – MEDIUM-POOR	3
PI 385970	13.36; 11.25; 16.02; 10	10; 11.25; 13.36; 16.02	YE – YELLOW	OG – OBLONG	1 – SMOOTH	4 – MEDIUM-POOR	13			3	38	10	50			GN – GREEN	B – BUSH	4 – MEDIUM-POOR	2
PI 406678	18; 15.51	15.51; 18																	
PI 406679	21; 13.7	13.7; 21																	
PI 418966	13.2; 12.85; 12.55	12.55; 12.85; 13.2																	
PI 420328	24; 16.57; 16.67	16.57; 16.67; 24																	
PI 420329	19.5; 16.68; 24.76	16.68; 19.5; 24.76																	
PI 420330	24.24; 18	18; 24.24																	
PI 420331	16.73; 14.97	14.97; 16.73																	
PI 420332	16.16; 11.2; 17.58; 10.9	10.9; 11.2; 16.16; 17.58																	
PI 427095	17.76; 12; 15.35	12; 15.35; 17.76																	
PI 431582	8.93; 13.72; 10.38	8.93; 10.38; 13.72																	
PI 435346	3.4; 3.91	3.4; 3.91																	
PI 438573	17.92; 17.28	17.28; 17.92																	
PI 438574	15.08; 16.62	15.08; 16.62																	
PI 438575	12.9; 16.49; 15.77	12.9; 15.77; 16.49																	
PI 438581	14.94; 13.96; 15.94	13.96; 14.94; 15.94																	
PI 438582	3.35; 3.9	3.35; 3.9																	
PI 438696	21.43; 19.77; 21.99; 14.96	14.96; 19.77; 21; 21.43; 21.99																	
PI 438699	11.99; 5.2	5.2; 11.99																	
PI 438700	13.23	12.93; 13.23																	
PI 438702	10.36; 11.8	10.36; 11.8																	
PI 438711	13; 15.78; 17.02; 16.24	13; 15.78; 16.24; 17.02																	
PI 438715	16.8; 15.34; 13.91; 14.25	13.91; 14.25; 15; 15.34; 16.8																	
PI 438716	11.06; 15.05; 16.4	11.06; 15.05; 16.4																	
PI 438717	15.71; 13.64	13.64; 15.71																	
PI 438822	12.02; 20.82	12.02; 20.82																	
PI 438823	21.42; 20.02	20.02; 21.42																	
PI 442260	14.95; 15.91; 15.3; 12.67; 19.62	12.67; 14.95; 15.3; 15.91; 19.62																	
PI 442291	18.36; 15.03	15.03; 18.36																	
PI 442292	16.4	16; 16.4																	
PI 442293	9.53; 16.06	9.53; 16.06																	
PI 442294	14; 12.66	12.66; 14																	
PI 442295	12.1; 18	12.1; 18																	
PI 442296	14.88; 9.76	9.76; 14.88																	
PI 442297	16.59; 14.36	14.36; 16.59																	
PI 442298	12.3; 18	12.3; 18																	
PI 442299	16.54; 8.14	8.14; 16.54																	
PI 442300	14.14; 16.11; 17.69	14.14; 16.11; 17.69																	
PI 442304	8.52; 15	8.52; 15																	
PI 442305	9.08; 14	9.08; 14																	
PI 442306	14; 16.68	14; 16.68																	
PI 442307	7.2; 15	7.2; 15																	
PI 442308	16.26; 10.72	10.72; 16.26																	
PI 442309	8.54; 13.98	8.54; 13.98																	
PI 442310	15; 16.6	15; 16.6																	
PI 442311	18; 8.8	8.8; 18																	
PI 442312	12.42; 13	12.42; 13																	
PI 442313	15.52; 14	14; 15.52																	
PI 442314	16.24; 12.63	12.63; 16.24																	
PI 442315	10.05; 16	10.05; 16																	
PI 442316	15; 16.84	15; 16.84																	
PI 442317	19.64; 20.27	19.64; 20.27																	
PI 442318	9.44; 15	9.44; 15																	
PI 442319	20.08; 16	16; 20.08																	
PI 442320	11.74; 14	11.74; 14																	
PI 442321	8.68; 15	8.68; 15																	
PI 442322	16; 13.08	13.08; 16																	
PI 442323	12.47; 11.6	11.6; 12.47																	
PI 442325	15.68; 16.37; 13	13; 15.68; 16.37																	
PI 442326	10.1	10.1																	
PI 442327	14.06	14.06																	
PI 442328	9.26; 6.9	6.9; 9.26																	
PI 442329	9.24	9.24																	
PI 442330	17.36	17.36																	
PI 442331	13.2; 15.5; 14.89	13.2; 14.89; 15.5																	
PI 442332	25.1	25.1																	
PI 442333	13.02; 12.85	12.85; 13.02																	
PI 442334	11.16; 10.2	10.2; 11.16																	
PI 442335	14.34; 13.6	13.6; 14.34																	
PI 442336	13.22	13.22																	
PI 442337	14.8	14.8																	
PI 442338	14.88	14.88																	
PI 442339	12; 13.54	12; 13.54																	
PI 442340	14.52	14.52																	
PI 442791	6.44; 6.67	6.44; 6.67																	
PI 442792	7.47; 6.61	6.61; 7.47																	
PI 449350	14; 12.3	12.3; 14	OR – ORANGE	GL – GLOBE; OT – OBLATE	2 – RIBBED	3 – MEDIUM				2					SP – SPECKLED	OR – ORANGE; YE – YELLOW		3 – MEDIUM	
PI 451849	12.95; 16	12.95; 16	OR – ORANGE	GL – GLOBE	2 – RIBBED	3 – MEDIUM				2					SP – SPECKLED; SO – SOLID COLOR	OR – ORANGE		3 – MEDIUM	
PI 451850	18; 12.48	12.48; 18	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM				3					SP – SPECKLED	GY – GRAY; GN – GREEN		3 – MEDIUM	
PI 451851	16; 12.3	12.3; 16	OR – ORANGE	OG – OBLONG	1 – SMOOTH	2 – MEDIUM-GOOD				3					SP – SPECKLED; ST – STRIPED	OR – ORANGE; GN – GREEN		2 – MEDIUM-GOOD	
PI 451852	8.42; 8.57	8.42; 8.57	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM				3					SO – SOLID COLOR	GN – GREEN		3 – MEDIUM	2
PI 451853	15; 12.39	12.39; 15	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM				2					SP – SPECKLED	OR – ORANGE		3 – MEDIUM	
PI 451854	17.3; 13.84	13.84; 17.3; 18.41	OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED	2 – MEDIUM-GOOD				3					ST – STRIPED; SP – SPECKLED	OR – ORANGE; GN – GREEN		2 – MEDIUM-GOOD	2
PI 458730	11.25; 12	11.25; 12																	
PI 458731	10.23	10.23																	
PI 458733	9.95; 10.26	9.95; 10.26																	
PI 458734	15.59; 13.15	13.15; 15.59																	
PI 458748	13.7; 20.67	13.7; 20.67																	
PI 458750	14; 18.62	14; 18.62																	
PI 470255	9.03	9.03																	
PI 478367	2.54; 2.25																		
PI 482512	8.62; 14.25	8.62; 14.25		4 – ROUND															
PI 482590	13; 11.36	11.36; 13	OR – ORANGE	GL – GLOBE; OG – OBLONG	2 – RIBBED; 1 – SMOOTH	4 – MEDIUM-POOR				3						OR – ORANGE; GN – GREEN		4 – MEDIUM-POOR	
PI 482591	12.32; 13.16	12.32; 13.16	YE – YELLOW	GL – GLOBE; OG – OBLONG	4 – WARTY; 2 – RIBBED	3 – MEDIUM				3					MO – MOTTLED; ST – STRIPED	GN – GREEN; OR – ORANGE		3 – MEDIUM	2
PI 482592	12; 11.42	11.42; 12	YE – YELLOW	OG – OBLONG	4 – WARTY	3 – MEDIUM				3					ST – STRIPED; MO – MOTTLED	GN – GREEN; OR – ORANGE		3 – MEDIUM	
PI 482593	11; 9.44	9.44; 11	OR – ORANGE	GL – GLOBE	1 – SMOOTH	2 – MEDIUM-GOOD				2						GN – GREEN		2 – MEDIUM-GOOD	
PI 490274	12; 12.67	12; 12.67; 13.01		OG – OBLONG	1 – SMOOTH	3 – MEDIUM				3					SP – SPECKLED; ST – STRIPED	GN – GREEN		3 – MEDIUM	2
PI 490275	5.45; 5.62	5.45; 5.62																	
PI 490277	12.55; 13	12.55; 13		GL – GLOBE	4 – WARTY; 2 – RIBBED	2 – MEDIUM-GOOD				3					SP – SPECKLED; ST – STRIPED			2 – MEDIUM-GOOD	2
PI 490278	12; 7.41	7.41; 12																	
PI 490279	16.03; 8.99	8.99; 16.03																	
PI 491201	21.08; 17.6; 14.12	14.12; 17.6; 21.08																	
PI 491202	17; 12.49	12.49; 17																	
PI 500643	17; 16.36	16.36; 17																	
PI 500644	10.38	10.38																	
PI 506441	15.4; 13.82	13.82; 15.4																	
PI 506442	11	11																	
PI 506443	13	13																	
PI 506466	13.73; 14.96	13.73; 14.96																	
PI 506467	14.62	14.62																	
PI 506468	13.61	13.61																	
PI 507882	23.77; 19; 17.99	17.99; 19; 23.77																	
PI 507885	6; 7.9; 7.74	6; 7.74; 7.9																	
PI 507886	8; 12.88	8; 12.88																	
PI 507887	18.02; 12; 17.1	12; 17.1; 18.02																	
PI 507888	22.55; 22.23; 19.78	19.78; 22.23; 22.55																	
PI 508465	19.14; 17.06	17.06; 19.14																	
PI 508467	11.2; 12.85	11.2; 12.85																	
PI 508468	14.41; 13.72	13.72; 14.41																	
PI 508469	16.16; 13.48	13.48; 16.16																	
PI 510634	8.2; 13.15	8.2; 13.15																	
PI 510635	14.29; 12	12; 14.29																	
PI 511903				2 – ELONGATE															
PI 511904				6 – OVAL															
PI 511967	22; 28.24; 20.9	20.9; 22; 28.24																	
PI 511968	16.4; 20.22; 18.63; 21.44	16.4; 18.63; 20.22; 21.44																	
PI 511969	17.31; 23.14	17.31; 23.14																	
PI 511970	20.3; 17.87; 18.88; 18.01	17.87; 18.01; 18.88; 20.3																	
PI 511971	22.75; 18.6	18.6; 22.75																	
PI 511972	16.5	16.5																	
PI 511973	25.78; 14.56	14.56; 25.78																	
PI 511974	16.7; 20.82	16.7; 20.82																	
PI 511975	11.1	11.1																	
PI 511976	20.4; 19	19; 20.4																	
PI 511977	28.22; 20.62	20.62; 28.22																	
PI 511978	10.36; 13.88	10.36; 13.88																	
PI 511979	16.7; 18.64; 16.45; 15.14	15.14; 16.45; 16.7; 18.64																	
PI 511980	17.21; 20.75; 15; 18.85	15; 17.21; 18.85; 20.75																	
PI 511981	18.16; 18.89; 18.58; 17.52	17.52; 18.16; 18.58; 18.89																	
PI 511982	19.09; 18; 19.94; 18.19	18; 18.19; 19.09; 19.94																	
PI 511983	19; 22.91	19; 22.91																	
PI 511984	23	23																	
PI 512184	18	18																	
PI 512185	9.455; 7.76; 16.045; 15.26	7.76; 9.455; 15.26; 16.045																	
PI 512186	14.15; 8.04; 16.88	8.04; 14.15; 16.88																	
PI 512187	9.12	9.12																	
PI 512188	11.61; 16.67	11.61; 16.67																	
PI 512189	28.08; 18.72; 11.09	11.09; 18.72; 28.08																	
PI 512190	16.9; 15.25	15.25; 16.9																	
PI 512191	15.5	15.5																	
PI 512192	16.24	16.24																	
PI 512193	15.96	15.96																	
PI 512662	17.56; 23.3; 17.02	17.02; 17.56; 23.3																	
PI 512664	9.83; 12.68; 9.78	9.78; 9.83; 12.68																	
PI 512665	18.98; 25.4; 17.08	17.08; 18.98; 25.4																	
PI 512693	20.7; 18.95	18.95; 20.7; 23.4; 23.475; 23.53; 24.3																	
PI 512697	10.84; 10.74; 9.9	9.9; 10.74; 10.84																	
PI 512698	12.2; 14.39	12.2; 14.39																	
PI 512701	13.79; 12.05	12.05; 13.79																	
PI 512703	20.34; 21.2; 21.5	20.34; 21.2; 21.5; 23.72																	
PI 512707	13.47; 16.18; 15.6; 9.08	9.08; 13.47; 15.6; 16.18																	
PI 512709	14.57; 20.38; 22.64	14.57; 20.38; 22.64																	
PI 512710	20.44; 17.61; 18.255	17.6; 17.61; 18.255; 20.44																	
PI 512729	12.79; 14.7	12.79; 14.7																	
PI 512739	11.59; 10	10; 11.59																	
PI 512741	13.08; 13.47	13.08; 13.47; 15.77																	
PI 512742	9.31	9.31																	
PI 512744	3.4; 3.9; 4.22	3.4; 3.9; 4.22																	
PI 512749	18; 17.355	17.355; 18																	
PI 512750	18.76; 16.03	16.03; 18.76																	
PI 512751	24.48; 16.25	16.25; 24.48																	
PI 512752	15.22; 17.6; 18.81	15.22; 17.6; 18.81																	
PI 512753	16.38; 16.68; 18.28; 18.09	16.38; 16.68; 18.09; 18.28																	
PI 512754	14.835	14.835																	
PI 512755	15.67	15.67																	
PI 512757	9.905; 14.09; 15.3	9.905; 14.09; 15.3																	
PI 512761	7.93; 19	7.93; 19																	
PI 512765	32.1; 24.04	24.04; 32.1																	
PI 512773	14.43; 16.75	14.43; 16.75																	
PI 512776	16.34; 16.15	16.15; 16.34																	
PI 512779	14.17; 6.04	6.04; 14.17																	
PI 512780	10.12; 13.83; 12.71; 12.04	10.12; 12.04; 12.71; 13.83																	
PI 512782	17.16; 19.41	17.16; 19.41																	
PI 512785	15.91; 14.8	14.8; 15.91																	
PI 512787	20.77; 20.13	20.13; 20.7; 20.77																	
PI 512788	21.5; 24.77; 22.4	21.5; 22.4; 24.77																	
PI 512789	29; 23.25; 28.32	23.25; 28.32; 29																	
PI 512791	29.78; 18.71	18.71; 29; 29.78																	
PI 512793	16.61; 13.97	13.97; 16.61																	
PI 512794	11.86; 14.64	11.86; 12.89; 14.64																	
PI 512796	30.6; 22.48; 25.36	22.48; 25.36; 30.6																	
PI 512799	17.19; 15.61; 17.81; 25.15	15.61; 17.19; 17.81; 25.15																	
PI 512800	24.16; 15.59	15.59; 24.16																	
PI 512801	25.2; 15.16	15.16; 25.2																	
PI 512802	19.69; 17.76; 18.33	17.76; 18.33; 19.69																	
PI 512803	24.75; 20.53	20.53; 24.75																	
PI 512804	15.14; 15.39; 16.85	15.14; 15.39; 16.85																	
PI 512805	15.08; 14.12	14.12; 15.08																	
PI 512806	12.57; 18	12.57; 18																	
PI 512807	13.756; 19.96; 24.18	13.756; 19.96; 21.09; 24.18																	
PI 512808	9.5; 8.3	8.3; 9.5																	
PI 512810	19.51; 20.3; 22.28; 22.93	19.51; 20.3; 22.28; 22.93																	
PI 512812	13.11; 16.3	13.11; 16.3																	
PI 512813	18.5; 18.97	18.5; 18.97																	
PI 512817	12.44; 11.93	11.93; 12.44																	
PI 512820	10.88; 13.73	10.88; 13.73																	
PI 512822	13.4; 14.14; 14.84	13.4; 14.14; 14.84																	
PI 512823	12.67; 15.65; 13.3	12.67; 13.3; 15.65																	
PI 512825	18.34; 19.68	18.34; 19.68																	
PI 512826	12.19; 14.41; 17.76	12.19; 14.41; 17.76																	
PI 512830	13.01	13.01																	
PI 512831	7.9; 11.08; 15.79	7.9; 11.08; 15.79																	
PI 512834	13.04; 11.06; 12.42; 11.74	11.06; 11.74; 12.42; 13.04; 14.55; 15.082; 15.36																	
PI 512836	22.64; 20.49	20.49; 22.64																	
PI 512837	15.57; 14.42	14.42; 15.57																	
PI 512840	18.95; 17.6	17.6; 18.95																	
PI 512851	12.79; 16.32; 14.7; 16.84; 15.485; 15.84; 16.85	12.79; 14.7; 15.485; 15.84; 16.32; 16.84; 16.85																	
PI 512852	12.17; 11.24; 11.87; 12.76; 17.4	11.24; 11.87; 12.17; 12.76; 17.4																	
PI 512857	5.77; 5.75; 6.35	5.75; 5.77; 6.35																	
PI 512858	8.38; 5	5; 8.38																	
PI 512859	7.1; 7.3; 7.22	7.1; 7.22; 7.3																	
PI 512860	5.65; 8.26	5.65; 8.26																	
PI 512861	8.35; 8.53; 6.6	6.6; 8.35; 8.53																	
PI 512862	9.01; 7.28	7.28; 9.01																	
PI 512863	6.1; 11.23; 8.68	6.1; 8.68; 11.23																	
PI 512867	14.68; 19.55; 16.35	14.68; 16.35; 19.55																	
PI 512868	12.1; 6.66	6.66; 12.1																	
PI 512869	12.84; 12.87	12.84; 12.87																	
PI 512870	14.64; 18.07; 17.51; 20.01; 17.99; 16.14	14.64; 16.14; 17.51; 17.99; 18.07; 20.01																	
PI 512871	5.13; 4.67	4.67; 5.13																	
PI 512873	8.2; 5.91	5.91; 8.2																	
PI 512874	12.12; 17.47	12.12; 17.47																	
PI 512878	14.29; 16.7; 18.15	14.29; 16.7; 18.15																	
PI 512880	15.12; 20.64; 20.15; 20.76	15.12; 20.15; 20.64; 20.76																	
PI 512881	20.88; 19.43; 20.48	19.43; 20.48; 20.88																	
PI 512884	6.8	6.8																	
PI 512885	14.76; 11.11	11.11; 14.76																	
PI 512886	15.08; 15.63	15.08; 15.63																	
PI 512888	10.89; 12.6	10.89; 12.6																	
PI 518687	9.88; 9.02; 8.405	8.405; 9.02; 9.88																	
PI 518688	11.76; 7.55	7.55; 11.76																	
PI 518689	9.55; 14.56	9.55; 14.56																	
PI 525166	18.1; 10.68	10.68; 18.1																	
PI 525168	20.53; 10.27	10.27; 20.53																	
PI 525169	14.2; 19.6	14.2; 19.6																	
PI 525170	10.02; 18.22	10.02; 18.22																	
PI 525171	15.18; 17.97	15.18; 17.97																	
PI 525172	19.8; 16	16; 19.8																	
PI 525173	14.08; 19.65	14.08; 19.65																	
PI 525175	19.04; 15.63	15.63; 19.04																	
PI 525176	16.77; 20.06	16.77; 20.06																	
PI 525177	19; 10.18	10.18; 19																	
PI 525178	15.53; 18.6	15.53; 18.6																	
PI 525179	19.2; 14.2	14.2; 19.2																	
PI 525181	12.46; 18.32	12.46; 18.32																	
PI 525182	13.68; 19.63	13.68; 19.63																	
PI 531315	24.42; 28.02	24.42; 28.02																	
PI 531316	10.07; 13.6; 11.43	10.07; 11.43; 13.6																	
PI 531318	13.98	13.98																	
PI 531319	20.03; 24.8; 21.46	20.03; 21.46; 24.8																	
PI 531320	7.1; 9.07	7.1; 9.07																	
PI 531321	24.09	24.09																	
PI 531322	19.66; 10.92	10.92; 19.66																	
PI 531323	17.14	17.14; 18.82																	
PI 532354	2.77; 2.18; 2.64; 2.45	2.18; 2.45; 2.64; 2.77																	
PI 532355	2.21; 2.93; 2.4	2.21; 2.4; 2.93																	
PI 532356	1.95; 2.75	1.95; 2.75																	
PI 532385	13.9; 11.9; 17.32; 19.06	11.9; 13.9; 17.32; 19.06																	
PI 532386	11.26	11.26																	
PI 532387	18.31; 20.02	18.31; 20.02																	
PI 532388	18.66; 22.54	18.66; 22.54																	
PI 532389	13.445; 13.84	13.445; 13.84																	
PI 534557	13.29; 6.52	6.52; 13.29																	
PI 534558	12.74; 14.54; 15.165	12.74; 14.54; 15.165																	
PI 534559	13.025; 6.85; 15.63; 15.16	6.85; 13.025; 15.16; 15.63																	
PI 534560	13.3; 7.72	7.72; 13.3																	
PI 534561	5.68; 11.17; 14.23	5.68; 11.17; 14.23																	
PI 534562	9.7; 15.6	9.7; 15.6																	
PI 534563	8.82; 15.28; 13.58	8.82; 13.58; 15.28																	
PI 534564	16.65; 12.49; 10.08	10.08; 12.49; 16.65																	
PI 534565	11.22; 11.52	11.22; 11.52; 12.86																	
PI 534566	7.07; 17.92	7.07; 17.92																	
PI 534567	9.42; 14.99	9.42; 14.99																	
PI 534568	8.28; 14.9	8.28; 14.9																	
PI 534569	8.44; 15.55	8.44; 15.55																	
PI 534570	8.9	8.9																	
PI 534571	3.89; 16.96	3.89; 16.96																	
PI 534572	18.42; 15.43	15.43; 18.42																	
PI 534620	6.4; 12.03	6.4; 12.03																	
PI 534621	13.32; 6.76	6.76; 13.32																	
PI 534622	7.9; 16.43	7.9; 16.43																	
PI 534623	13.57; 11.82	11.82; 13.57																	
PI 534624	8.1; 16.07	8.1; 16.07																	
PI 534626	12.3; 20.88	12.3; 20.88																	
PI 534628	14.02; 9.32	9.32; 14.02																	
PI 534630	7.32; 15.12	7.32; 15.12																	
PI 534632	12.32; 13.53	12.32; 13.53																	
PI 534633	14.03	14.03																	
PI 534634	8.96; 11.54	8.96; 11.54																	
PI 534635	11.53; 8.6	8.6; 11.53																	
PI 534636	15.29; 15.1; 16.51	15.1; 15.29; 16.51																	
PI 534638	11.14; 13.5	11.14; 13.5																	
PI 534639	15.16; 15.29	15.16; 15.29																	
PI 534640	13.64; 12.48	12.48; 13.64																	
PI 534641	15.09; 11.94	11.94; 15.09																	
PI 537483	23.25; 14.08	14.08; 23.25																	
PI 537502	29.67; 16.17	16.17; 29.67																	
PI 537504	23.4; 20.85	20.85; 23.4																	
PI 537505	19.87; 18.25	18.25; 19.87																	
PI 537508	20.68; 18.46	18.46; 20.68																	
PI 537509	19.5; 27.75	19.5; 27.75																	
PI 537513	23.54; 18.96	18.96; 23.54																	
PI 537514	22.86; 20.74	20.74; 22.86																	
PI 537519	24.53; 32.71	24.53; 32.71																	
PI 537532	17.25; 17.59	17.25; 17.59																	
PI 537533	21.32	21.32																	
PI 537554	16.23; 16.4	16.23; 16.4																	
PI 537555	16.04; 14.36	14.36; 16.04																	
PI 537560	31.05; 28.5; 24.15	24.15; 28.5; 31.05																	
PI 537562	9; 10; 10.59	9; 10; 10.59																	
PI 540907	3.62; 3.46; 3.7; 3.94	3.46; 3.62; 3.7; 3.94																	
PI 615154	14.06; 10.68; 12.99; 12.82	10.68; 12.82; 12.99; 14.06																	
PI 604595																			
PI 614692	3.15; 2.65	2.65; 3.15																	
PI 614693	3.09; 2.59	2.59; 3.09																	
PI 614694	2.98; 2.73	2.73; 2.98																	
PI 614695	2.88	2; 2.88																	
PI 614696	2.96; 3.2	2.96; 3.2																	
PI 614697	3.05; 3.47	3.05; 3.47																	
PI 614698	2.44; 2.88	2.44; 2.88																	
PI 614699	3.29; 3.39	3.29; 3.39																	
PI 614700	3.15; 2.34; 3.57	2.34; 3.15; 3.57																	
PI 614701	2.7; 2.87	2.7; 2.87																	
PI 595364	12.56	12.56; 14.86																	
PI 595838	7.21	7.21																	
PI 597784		9.94																	
PI 615155	20.71; 13.17; 17.92; 14.55	13.17; 14.55; 17.92; 20.71																	
Ames 25248	24.95	24.95																	
PI 608048	13.5; 20.9; 18.16; 20.17; 20.5	13.5; 18.16; 20.17; 20.5; 20.9																	
Ames 25700	16.15; 14.42	14.42; 16.15																	
Ames 25701	16.44; 10.72	10.72; 16.44																	
Ames 25940	23.4	23.4																	
Ames 25941	36.4; 20.99	20.99; 36.4																	
Ames 25942	21.46; 18.39	18.39; 21.46																	
Ames 25943	29.88; 18.15	11.8; 18.15; 23.2; 29.88																	
Ames 25944	22.38; 29.76	22.38; 29.76																	
Ames 25945	27.97; 25.6	25.6; 27.97																	
Ames 25946	34.45; 30.85	30.85; 34.45																	
PI 612861	15.61; 15.99; 15.22; 26	15.22; 15.61; 15.99; 26																	
PI 612862	29.72; 15.91; 12.3	12.3; 15.91; 29.72																	
PI 612863	21.04; 13.46	13.46; 21.04																	
PI 612864	11.13; 19.49	11.13; 19.49																	
PI 612865	13.21; 13.6; 16.8; 20.12	8.38; 8.64; 12.74; 13.21; 13.6; 16.8; 17.85; 20.12																	
PI 612866	14.45; 17.22; 13.62	13.62; 14.45; 17.22																	
PI 612867	13.1; 11.77; 14.21; 15.32	11.77; 13.1; 14.21; 15.32																	
PI 612868	13.43; 12.09	12.09; 13.43																	
Ames 26029	19.8	19.8																	
Ames 26606	2.81; 2.85	2.81; 2.85																	
Ames 26607	3.47; 3.57; 3.24	3.47; 3.57; 2.98; 3.081; 3.24																	
Ames 26608	4.1; 2.66	2.66; 4.1																	
Ames 26609	3.89; 3.74	3.74; 3.89																	
Ames 26610	3.96; 4.055	3.96; 4.055																	
Ames 26611	3.37; 4.99	3.37; 3.66; 4.99																	
Ames 26612	2.74; 3.845	2.74; 3.845																	
Ames 26613	4.28																		
Ames 26614	2.82																		
Ames 26615	3.84																		
Ames 26616	4.33; 4.075; 4.05	3.32; 4.05; 4.075; 4.33																	
Ames 26617	5.245; 4.07	4.07; 5.245																	
Ames 26618	3.15																		
Ames 26619	4.24; 4.235	4.235; 4.24																	
Ames 26620	3.37; 4.195	3.37; 4.195																	
Ames 26621	3.59																		
Ames 26622	3.65; 3.89	3.65; 3.89																	
Ames 26623	3.47																		
